objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dinosaur Island: Rawr 'n Write","318009","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","87070100","6.89482","7.64749","2.8512","634","11681","thing","Dinosaur Island: Rawr 'n Write","1","4","45","45","30","2021","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dirty Drawers","256963","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","136975928","0","6.5","0","0","24","thing","Dirty Drawers","3","7","5","5","5","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dirty Minds: The Game of Naughty Clues","2956","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083417","5.18375","4.06652","1.1429","31311","2140","thing","Dirty Minds: The Game of Naughty Clues","2","6","45","45","5","1990","4","4","14–18","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Charades Game","10341","4","0","0","0","0","0","0","0","1","0","0","3","","old games","","","","32083423","5.49147","5.37571","1.25","28317","326","thing","Disney Charades Game","4","99","45","45","45","1999","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Bigger and Badder","352764","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","144628617","6.16324","7.37684","2.4211","2401","8754","thing","Disney Villainous: Bigger and Badder","2","3","60","60","40","2022","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Evil Comes Prepared","284760","0","0","0","1","0","0","0","0","0","0","0","3","","Under Villainous ","","","","66266843","6.74134","7.47589","2.3115","850","21370","thing","Disney Villainous: Evil Comes Prepared","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: The Worst Takes it All","256382","0","0","0","0","1","0","0","0","0","0","0","3","","Under Villainous ","","","","66266788","6.67241","6.90309","2.4802","971","55423","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Treacherous Tides","447298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143224192","5.67511","7.60827","2.5","6969","2213","thing","Disney Villainous: Treacherous Tides","2","2","40","40","40","2025","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Wicked to the Core","271518","0","0","0","1","0","0","0","0","0","0","0","3","","Under Villainous ","","","","112585401","6.76747","7.47616","2.375","820","21935","thing","Disney Villainous: Wicked to the Core","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney: Mickey's Christmas Carol","374368","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","113474329","5.51747","6.21014","1","20590","270","thing","Disney: Mickey's Christmas Carol","2","4","20","20","20","2022","1,2,3,4","2","4–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney: The Haunted Mansion – Call of the Spirits Game","309129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143006746","5.95495","6.92145","1.9231","3501","5187","thing","Disney: The Haunted Mansion – Call of the Spirits Game","2","6","30","30","30","2020","3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","5","0","0","1","0","0","0","0","0","0","0","3","","Not a big fan, but the graphics are cool","","","","32083434","7.06235","7.17817","1.1909","436","110201","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Journey","121288","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","32083441","6.70832","7.38003","1.2556","909","8858","thing","Dixit: Journey","3","6","30","30","30","2012","4,5,6","5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","39270051","7.13956","7.37663","1.1594","361","35525","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"DOG","2633","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","136975897","5.86031","6.33138","1.4167","4249","3965","thing","DOG","2","6","45","45","45","1997","4,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Lover","344839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106203782","5.95105","6.69436","1.8438","3528","2958","thing","Dog Lover","2","4","30","30","30","2021","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dog Park","331401","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137273666","6.30988","6.86089","2.1618","1867","9038","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Dog's Best Friend Game","428753","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142571703","0","6.43571","0","0","51","thing","The Dog's Best Friend Game","1","8","25","25","25","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominoes","2394","5.5","0","0","1","0","0","0","0","0","0","0","3","","bear basket","","","","32083480","5.50346","5.57175","1.3636","25402","18615","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Go Boom","376715","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","109648510","5.51089","6.37353","1","22937","148","thing","Don't Go Boom","2","6","25","25","25","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Make Me Laugh Jr.","733","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","32083496","0","3.65","0","0","45","thing","Don't Make Me Laugh Jr.","2","5","30","30","30","2000","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Donner Dinner Party","219638","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","56692789","5.63284","6.21646","1.25","8139","2478","thing","Donner Dinner Party","4","10","60","60","30","2017","5,6,7,8,9,10","6,7","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle Dice","23334","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083510","5.50074","5.59099","1.05","26227","1266","thing","Doodle Dice","2","6","30","30","20","2006","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Doodle Rush","232090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56692908","5.60458","6.50145","1.3333","9319","478","thing","Doodle Rush","3","6","15","15","10","2017","3,4,5,6","6","Up to 2","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Doomlings","324413","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142571777","6.03407","6.75211","1.5733","3038","8538","thing","Doomlings","2","6","45","45","20","2022","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Doomtown: Reloaded","156714","0","0","0","0","1","0","0","0","0","0","0","3","","Super complicated instructions!","","","","36113083","6.23527","7.09571","3.6087","2118","6459","thing","Doomtown: Reloaded","2","4","30","30","30","2014","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Double Feature","158267","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54575961","5.5161","5.88163","1","21046","423","thing","Double Feature","3","10","35","35","20","2015","4,5,6,7,8","4,5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Double Six Dominoes","2394","5.5","0","0","1","0","0","0","0","0","0","0","3","","kids","","","","32083488","5.50346","5.57175","1.3636","25402","18615","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Double Tangoes","21916","0","0","0","1","0","0","0","0","0","0","0","3","","old games","","","","35584274","0","5.72727","0","0","47","thing","Double Tangoes","1","2","30","30","30","2001","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Downfall of Pompeii","13004","7","0","0","1","0","0","0","0","0","0","0","3","","Like this game a lot!","","","","32084275","6.78816","7.16571","1.8439","777","10006","thing","The Downfall of Pompeii","2","4","45","45","45","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Castle","232219","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","54269059","6.70727","7.09381","1.9875","911","12251","thing","Dragon Castle","1","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Farkle","128174","0","0","0","0","1","0","0","0","0","0","0","3","","A more complicated version of Farkle","","","","33885581","5.71919","6.40665","1.4545","6029","2062","thing","Dragon Farkle","2","5","30","30","30","2015","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon Market","274300","0","1","0","0","0","0","0","0","1","0","0","3","","Kids - Game Play: Goods gathering
Our Rating: Fair
Thoughts: Fast game. Better for 7-12 yo  
","","","","81002570","5.5955","6.39897","1.3846","9808","630","thing","Dragon Market","2","4","40","40","20","2019","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonfire","226501","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","64998184","6.18502","7.02113","3.2391","2316","5789","thing","Dragonfire","2","6","90","90","60","2017","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonrealm","272993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119312132","5.8791","6.94663","1.6333","4104","3341","thing","Dragonrealm","2","4","30","30","20","2019","2,3,4","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonwood","172933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56692765","6.1617","6.56587","1.3566","2406","13814","thing","Dragonwood","2","4","20","20","20","2015","2,3,4","3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dread Curse","136356","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","33885587","5.67856","6.30311","1.8333","6885","1310","thing","Dread Curse","3","8","30","30","30","2013","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dread Pirate","5457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32083530","5.40709","5.32074","1.4505","31108","2537","thing","Dread Pirate","2","4","60","60","60","2002","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream Home","194880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","87070113","6.50073","6.85592","1.665","1347","12283","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dream On!","232980","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","64998201","5.68691","6.70752","1","6686","1081","thing","Dream On!","2","8","20","20","15","2017","2,3,4,5,6","4,5,6","6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dreidel","12746","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","34587183","5.41601","3.91912","1","31073","206","thing","Dreidel","2","6","10","10","10","1500","3,4,5,6","3","4–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Drunter und Drüber","20204","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136975921","5.51354","6.31163","2","21988","254","thing","Drunter und Drüber","2","6","30","30","30","1973","4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Duke","36235","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36113124","6.63291","7.29619","2.4643","1053","6955","thing","The Duke","2","2","30","30","30","2013","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune","283355","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","141476384","7.35198","7.91107","3.9792","214","23056","thing","Dune","2","6","180","180","120","2019","5,6","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Academy","275840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119280369","5.7657","6.70426","1.4444","5285","1632","thing","Dungeon Academy","1","6","20","20","20","2019","1,2,3,4,5,6","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Raiders","80771","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130511759","6.00513","6.63145","1.3868","3178","3278","thing","Dungeon Raiders","3","5","60","60","20","2011","3,4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Royale","275634","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130512128","5.51818","6.21029","2","20351","625","thing","Dungeon Royale","2","4","90","90","45","2019","2,3,4","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Twister: The Card Game","144525","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","53491831","5.61223","6.16264","2.9655","8950","1825","thing","Dungeon Twister: The Card Game","2","2","60","60","15","2013","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon!","1339","0","0","0","1","0","0","0","0","0","0","0","3","","Like this game, especially since meeting the game designer!","","","","36713468","5.75568","6.01335","1.5527","5447","10869","thing","Dungeon!","1","8","60","60","30","1975","2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dynasty","153836","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54335606","0","4.125","1","0","34","thing","Dynasty","2","6","45","45","45","2005","3,4,5,6","3,4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"E.T. The Extra-Terrestrial: Light Years from Home Game","355772","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","130512096","5.75389","6.78586","2","5479","3233","thing","E.T. The Extra-Terrestrial: Light Years from Home Game","2","4","30","30","30","2022","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eight-Minute Empire","131366","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","44957965","6.30819","6.54323","1.6253","1876","10929","thing","Eight-Minute Empire","2","5","20","20","8","2012","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Eight-Minute Empire: Legends","142326","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80284726","6.4681","6.90422","1.9619","1420","8412","thing","Eight-Minute Empire: Legends","2","4","20","20","8","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Einstein: His Amazing Life and Incomparable Science","205185","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","63693875","5.69419","6.5506","1.6","6528","1383","thing","Einstein: His Amazing Life and Incomparable Science","2","4","30","30","15","2017","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","32083542","6.77285","6.96735","2.342","806","44485","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elysium","163968","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","149649790","6.85354","7.1868","2.7684","685","14306","thing","Elysium","2","4","60","60","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Emojito!","192283","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","81002588","5.51632","5.88272","1","20980","313","thing","Emojito!","2","14","30","30","30","2016","3,4,5,6,7,8,9,10,11,12,13,14","5,6,7,8,9,10","4–18","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Epic Beard Game","275030","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","64998166","5.4968","5.35881","1.3333","27221","224","thing","The Epic Beard Game","3","8","75","75","45","2018","3,4,5,6","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic Resort","151151","0","1","0","0","1","0","0","0","0","0","0","3","","main box","","","","45815868","5.70556","6.42213","2.5172","6291","1812","thing","Epic Resort","2","4","120","120","60","2014","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic Resort: Upgrade Kit","217764","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","80335203","0","7.5","0","0","23","thing","Epic Resort: Upgrade Kit","2","4","90","0","90","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Epic Resort: Villain's Vacation","194044","0","0","0","1","0","0","0","0","0","0","0","3","","in main box","","","","80335261","5.52789","6.61317","3","0","562","thing","Epic Resort: Villain's Vacation","2","4","120","120","60","2016","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape from the Aliens in Outer Space","82168","0","0","0","1","0","0","0","0","0","0","0","3","","p&p","","","","80013061","6.45116","6.90834","1.9758","1465","9682","thing","Escape from the Aliens in Outer Space","2","8","45","45","20","2010","4,5,6,7,8","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room in a Box: Flashback","279911","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119378745","5.66194","7.08292","2","7276","707","thing","Escape Room in a Box: Flashback","2","8","90","90","30","2019","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room in a Box: The Werewolf Experiment","188720","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119444694","5.83937","6.98304","2.25","4451","1485","thing","Escape Room in a Box: The Werewolf Experiment","2","8","90","90","30","2016","2,3,4,5,6","4","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game","204836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","46526729","6.3728","6.8618","2.2542","1679","10130","thing","Escape Room: The Game","3","5","60","60","60","2016","1,2,3,4","3","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game – 2 Player Edition","276760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141476470","5.64509","6.50607","2.125","7751","1551","thing","Escape Room: The Game – 2 Player Edition","2","2","60","60","60","2019","1,2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game – Jumanji","266802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119378736","5.60119","6.48246","2.4286","9491","1091","thing","Escape Room: The Game – Jumanji","1","6","60","60","60","2018","1,2,3","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Room: The Game – Secret Agent","243633","0","0","0","1","0","0","0","0","0","0","0","3","","In large box with The Dentist & Space Station","","","","119444631","5.59452","6.82634","1.4","0","824","thing","Escape Room: The Game – Secret Agent","3","5","60","60","60","2017","1,2,3,4","2","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape Room: The Game – Space Station","221701","0","0","0","1","0","0","0","0","0","0","0","3","","in large box with The Dentist & Secret Agent Operation Zekestan","","","","119444548","5.64535","6.87226","2.625","0","1263","thing","Escape Room: The Game – Space Station","3","5","60","0","60","2017","2,3","2","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape Room: The Game – The Dentist","243634","0","0","0","1","0","0","0","0","0","0","0","3","","in large box with Space Station < Secret Agent Operation Zekestan","","","","119444522","5.61824","6.87606","2.75","0","955","thing","Escape Room: The Game – The Dentist","3","5","60","60","60","2017","2","2","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape Room: The Game – Welcome to Funland","216961","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143576971","5.75138","6.81152","2.5","0","2386","thing","Escape Room: The Game – Welcome to Funland","3","5","60","60","60","2016","2,3,4","3,4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Escape the Room: Mystery at the Stargazer's Manor","193560","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48983177","5.96923","6.55483","1.6585","3416","3807","thing","Escape the Room: Mystery at the Stargazer's Manor","3","8","90","90","90","2015","1,2,3,4","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escaping Extinction: Based on a True Story","430307","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136976005","5.5148","6.56897","2","21541","293","thing","Escaping Extinction: Based on a True Story","1","4","45","45","45","2024","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100251419","7.79851","7.97343","2.8349","46","108315","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evil Baby Orphanage","128565","5.5","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083554","5.41572","5.24033","1.4848","31075","1528","thing","Evil Baby Orphanage","3","6","15","15","15","2012","3,4,5,6","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","141741569","6.96002","7.43481","2.7368","554","14299","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: The Beginning","201248","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100265555","6.01397","6.56149","1.7959","3135","6117","thing","Evolution: The Beginning","2","5","30","30","30","2016","2,3,4,5","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Abandoned Cabin","203420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60794678","7.06964","7.39724","2.535","425","18012","thing","EXIT: The Game – The Abandoned Cabin","1","6","120","120","60","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Forbidden Castle","215840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51325557","6.2634","6.77277","3.2154","2024","7809","thing","EXIT: The Game – The Forbidden Castle","1","4","90","90","45","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Forgotten Island","215841","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60794692","6.33784","6.85469","2.614","1769","7833","thing","EXIT: The Game – The Forgotten Island","1","4","90","90","45","2017","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Polar Station","215842","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51325343","6.32474","6.82177","2.6271","1806","7365","thing","EXIT: The Game – The Polar Station","1","4","90","90","45","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Secret Lab","203417","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48983209","6.65622","7.03682","2.5217","999","12817","thing","EXIT: The Game – The Secret Lab","1","6","150","150","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Sunken Treasure","226518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137276599","6.42709","7.02196","1.8286","1527","7556","thing","EXIT: The Game – The Sunken Treasure","1","4","90","90","45","2017","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game + Puzzle – Nightfall Manor","333516","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137416066","5.80619","7.35601","2.6","4774","1083","thing","EXIT: The Game + Puzzle – Nightfall Manor","1","4","180","180","120","2021","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","42450965","5.88445","6.06842","1.0785","4060","95893","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: 2-Player Edition","356226","0","0","0","0","0","0","0","0","1","0","0","3","","In with main deck","","","","130512314","5.57116","6.25807","1.2857","11443","1717","thing","Exploding Kittens: 2-Player Edition","2","2","20","20","20","2022","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: Imploding Kittens","204053","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","44199360","6.40672","6.97754","1.1017","0","23264","thing","Exploding Kittens: Imploding Kittens","2","6","15","0","15","2016","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Exploding Kittens: NSFW Edition","172242","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54338029","5.95906","6.23014","1.0823","3478","33537","thing","Exploding Kittens: NSFW Edition","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: Recipes for Disaster","343282","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","121479865","5.90632","7.01536","1.2727","3867","4828","thing","Exploding Kittens: Recipes for Disaster","2","5","15","15","15","2021","3,4,5","5","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: Streaking Kittens","260214","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","81004924","6.25331","7.15164","1.1389","0","12158","thing","Exploding Kittens: Streaking Kittens","2","5","15","15","15","2018","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Exposed","191932","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","106192942","5.57498","6.27973","1.7778","11120","701","thing","Exposed","2","6","45","45","30","2016","2,3,4,5,6","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
