objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"King's Gold","161761","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","50348396","5.64965","6.28751","1","7619","1300","thing","King's Gold","2","6","15","15","15","2014","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Builder","107529","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","54335350","6.77924","6.93176","2.0708","796","31969","thing","Kingdom Builder","2","4","45","45","45","2011","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53984475","7.16822","7.28617","1.2418","333","92853","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino Duel","281960","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81002605","6.09126","6.66542","1.5","2723","6628","thing","Kingdomino Duel","2","2","20","20","20","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kings in the Corner","4376","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083950","5.43793","5.26516","1.125","30936","1585","thing","Kings in the Corner","2","6","30","30","30","1996","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kites","348096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117215029","6.34255","6.83842","1.0822","1746","8879","thing","Kites","2","6","10","10","10","2022","2,3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kulami","108831","0","0","0","1","0","0","0","0","0","0","0","3","","I liked this game","","","","32083965","5.89271","7.00171","1.7083","3980","1503","thing","Kulami","2","2","30","30","30","2011","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"kuuduk","8958","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54597712","5.44683","4.88553","1.35","30854","637","thing","kuuduk","2","8","20","20","20","2003","","","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","6.5","0","0","1","0","0","0","0","0","0","0","3","","Kids","","","","32083974","6.23327","6.40915","1.3463","2130","35442","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth: The Card Game","533","0","0","0","0","0","0","0","0","1","0","0","3","","kids","","","","34587325","5.52625","5.59147","1.2113","17882","4429","thing","Labyrinth: The Card Game","2","6","30","30","30","2000","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
