bg_id,2,3,4,5,6,8,10,12,14,16,18,21 and up
163967,0,0,0,0,1,18,19,5,3,0,0,0
54,0,0,0,0,3,17,40,12,1,1,0,0
136888,0,0,0,0,0,2,21,11,1,0,0,0
140934,0,0,0,0,1,13,26,4,2,0,0,0
40692,0,0,0,5,22,145,115,13,9,0,0,1
172818,0,0,0,1,1,8,25,6,2,0,0,0
45315,0,1,0,0,0,2,13,25,26,2,1,0
260605,0,0,2,2,13,11,4,1,0,0,0,0
300322,0,0,0,0,0,0,4,6,7,0,0,0
101721,0,0,0,0,0,6,13,31,19,3,0,0
129622,0,1,5,12,50,101,36,5,2,0,1,0
77130,0,0,0,0,0,1,6,23,49,18,3,1
257499,0,0,0,0,0,0,6,19,11,3,0,0
5,0,0,0,0,0,6,26,35,12,1,0,0
181304,0,0,1,3,17,48,32,7,1,0,0,0
2653,0,0,2,10,40,44,10,3,2,0,0,0
59959,0,0,0,0,0,0,8,30,13,11,0,0
25292,0,0,0,0,0,4,17,40,18,2,0,0
176920,0,0,0,0,0,6,12,12,2,0,0,0
21241,0,0,0,1,1,9,27,30,11,0,0,0
219513,0,0,1,9,25,29,4,0,0,0,0,1
39856,0,2,6,20,76,100,25,8,3,2,0,0
41114,0,0,0,0,1,14,33,39,20,6,0,0
70919,0,1,1,16,46,89,29,3,0,0,0,0
37046,0,0,0,1,0,11,20,36,18,1,0,0
119890,0,0,0,1,4,14,26,10,0,0,0,2
163745,0,0,0,0,0,3,8,7,3,3,0,0
184921,0,0,0,0,0,16,19,7,0,0,1,0
285967,0,0,0,0,1,0,5,9,6,0,0,2
156546,0,0,0,0,0,0,0,2,0,1,1,0
188866,0,0,0,0,0,1,6,16,1,0,1,0
199042,0,1,0,3,13,42,24,2,0,0,0,0
234487,0,0,0,0,0,1,6,12,8,1,0,0
230253,0,0,0,0,0,5,5,3,0,0,0,0
172,0,0,0,5,19,52,14,0,0,0,0,0
192458,0,0,0,0,0,0,2,13,2,1,0,0
182134,0,0,0,0,0,3,7,6,1,0,0,0
17392,0,0,0,0,0,0,2,3,25,14,5,3
8217,0,0,1,0,1,13,37,14,0,0,0,0
25554,0,0,0,0,0,2,28,14,2,0,0,0
1,0,0,0,0,0,0,0,6,17,4,2,1
50,0,0,0,3,18,79,30,2,0,0,0,0
297030,0,0,0,0,0,0,1,2,10,5,0,0
39683,0,0,0,0,0,1,15,32,6,0,1,1
234277,0,0,0,0,0,3,9,8,0,0,0,0
250458,0,0,0,0,0,0,7,9,5,0,0,0
24480,0,0,0,0,0,1,20,31,4,2,0,1
90137,0,0,0,0,0,3,16,26,8,1,0,0
246192,0,0,0,0,2,14,10,2,0,0,0,0
33160,0,0,0,0,0,0,15,22,6,0,0,0
