ver_id,id
416750,39
25329,9465
25329,4785
25329,7251
70275,1391
132992,8291
558462,8291
558462,3
175636,7466
502553,2726
256827,15605
467231,15605
29703,8313
354138,18852
186514,8500
495250,24883
533736,538
517033,538
519861,538
520180,157
583743,8820
520991,42032
520991,538
551017,1391
551017,538
518692,8291
518692,538
518011,7466
518011,538
549453,538
424593,21053
314273,33706
314273,28072
355386,33706
355386,28072
342515,24844
410554,24844
377374,36563
363652,3242
554556,3475
554556,28072
456164,8291
367869,27470
465945,27470
493980,27470
435549,11043
375355,34801
445263,2366
472842,12540
275263,267
250684,22380
250684,538
356049,538
427332,22380
427332,538
556722,22380
250930,5657
241107,22380
288647,22380
293185,22609
457514,8291
304668,29907
373294,30677
416700,4304
416701,4304
562425,2726
582320,2726
158161,2726
305097,2726
187905,538
271247,538
194989,5657
407121,2973
557041,39
185175,2726
194490,39
251877,39
374636,8820
197071,17786
493207,17786
554555,3475
554555,2726
253138,23205
253138,2726
519358,23205
519358,2726
598039,39
598039,2726
469854,39
531387,39
186705,2726
566483,2726
205349,2726
244973,2726
300356,11043
554461,2726
234656,18852
369945,18852
410419,18852
259760,23756
259760,2726
557534,2726
260438,2973
464455,2973
198727,23756
421629,12540
439114,25996
359343,18529
432101,18529
432102,26630
421428,30034
410625,24844
451618,24844
426896,7251
427499,22609
405737,39249
442257,2726
459075,41518
441733,34522
422155,30677
284091,1027
436959,1027
253850,1027
281829,1027
437414,1027
267663,1027
262651,1027
408474,8820
270021,15889
537820,1027
537820,8291
236932,1027
338610,7466
417260,15605
574404,34522
479439,30677
581024,46500
486460,9234
268664,267
269927,538
290268,538
299917,133
299917,538
467311,133
467311,538
273451,5657
263567,133
290269,133
291105,133
358096,6214
365745,22
284154,5530
275538,3475
384857,8291
294438,4304
300815,4304
311999,2366
406899,34522
406899,133
292486,2366
171576,23043
171576,4384
86472,157
74143,157
100077,15889
337873,4384
547303,4384
241473,15605
264309,1391
92343,6214
211047,6214
458402,8291
458402,4384
63364,3218
133460,3218
192987,3218
192987,4384
69211,7466
94717,7466
380409,7466
380409,4384
217809,4384
350631,4384
274857,4384
71930,4384
583782,4384
257254,4384
478037,4384
271857,4384
467248,4384
531913,4384
331221,4384
336033,4384
600129,4384
390430,4384
454058,4384
407832,4384
481618,4384
596774,4384
514645,4384
589445,4384
92749,4384
151396,4384
324480,4384
300611,4384
440942,4384
71931,4384
107117,4384
372398,4384
445730,4384
22251,4384
375679,4384
400180,4384
185104,4384
371087,4384
148324,4384
99240,4384
93700,4384
296013,4384
547507,4384
294695,4384
420374,4384
552518,4384
329951,9325
476658,4384
447995,33998
434144,32395
516094,42032
441808,9234
321215,3218
337837,2366
324286,267
312534,10
551153,234
321217,3218
332290,8832
313214,234
315136,14813
555048,1391
342088,8291
342088,234
472482,234
582167,234
321214,3218
314209,5812
377098,2366
327259,18852
321216,3218
313032,17786
130603,13
