ver_id,id,type
290902,12016,artist
423307,12016,artist
266501,12016,artist
266503,12016,artist
339356,12016,artist
558031,12016,artist
316509,12016,artist
333351,12016,artist
288317,12016,artist
389078,12016,artist
564473,12016,artist
318316,12016,artist
278388,12016,artist
348109,12016,artist
333004,12016,artist
331603,12016,artist
320839,12016,artist
431609,12016,artist
410782,31545,artist
229951,31545,artist
227933,31545,artist
284456,31545,artist
364284,31545,artist
583924,6045,artist
164811,31545,artist
237166,31545,artist
237166,6045,artist
359188,31545,artist
359188,103476,artist
233933,31545,artist
457792,31545,artist
264709,31545,artist
264709,6045,artist
485474,31545,artist
485474,6045,artist
485474,103476,artist
312568,31545,artist
430341,31545,artist
430341,6045,artist
430341,103476,artist
604359,31545,artist
604359,6045,artist
604359,103476,artist
366032,31545,artist
242995,31545,artist
231710,31545,artist
164843,11802,artist
29556,11802,artist
297773,11802,artist
26324,11802,artist
43206,11802,artist
21364,11802,artist
435699,70571,artist
435699,70568,artist
435699,38179,artist
527664,32887,artist
527664,70571,artist
527664,70568,artist
527664,38179,artist
26985,11802,artist
26985,12011,artist
349461,70571,artist
349461,70568,artist
349461,38179,artist
420193,70571,artist
420193,70568,artist
420193,38179,artist
389052,70571,artist
389052,70568,artist
389052,38179,artist
259758,12484,artist
338489,12484,artist
193224,12484,artist
506193,12484,artist
189525,12484,artist
154404,12484,artist
597724,12484,artist
193774,12484,artist
391053,12484,artist
223237,12484,artist
422804,12484,artist
226081,12484,artist
214221,12484,artist
193772,12484,artist
300535,12484,artist
423597,12484,artist
251839,12484,artist
355766,12484,artist
326373,12484,artist
301912,12484,artist
301369,12484,artist
409676,12484,artist
585046,12484,artist
329848,12484,artist
410804,12484,artist
273894,12484,artist
325141,12484,artist
332201,12484,artist
393498,12484,artist
570418,12484,artist
344345,12484,artist
338742,12484,artist
351447,12484,artist
471202,113749,artist
471202,113748,artist
471202,71164,artist
448045,113749,artist
448045,113748,artist
448045,71164,artist
604978,113749,artist
604978,41862,artist
604978,113748,artist
604978,71164,artist
531978,113749,artist
435420,113749,artist
435420,113748,artist
435420,71164,artist
433233,113749,artist
433233,113748,artist
433233,71164,artist
474967,113749,artist
474967,113748,artist
474967,71164,artist
501112,113749,artist
501112,113748,artist
501112,71164,artist
433839,113749,artist
433839,113748,artist
433839,71164,artist
529409,113749,artist
529409,113748,artist
529409,71164,artist
438508,113749,artist
438508,113748,artist
438508,71164,artist
464873,113749,artist
464873,113748,artist
464873,71164,artist
479290,113749,artist
479290,113748,artist
479290,71164,artist
435127,113749,artist
435127,113748,artist
435127,71164,artist
452283,113749,artist
452283,113748,artist
452283,71164,artist
524651,113749,artist
524651,113748,artist
524651,71164,artist
542966,113749,artist
542966,113748,artist
542966,71164,artist
439205,113749,artist
439205,113748,artist
439205,71164,artist
438574,113749,artist
438574,113748,artist
438574,71164,artist
456102,113749,artist
456102,113748,artist
456102,71164,artist
434480,113749,artist
434480,113748,artist
434480,71164,artist
527618,113749,artist
527618,113748,artist
527618,71164,artist
517759,113749,artist
517759,113748,artist
517759,71164,artist
320688,46353,artist
477215,50786,artist
482334,46353,artist
283706,71164,artist
290825,65633,artist
290825,44234,artist
290825,71164,artist
534265,65633,artist
534265,44234,artist
534265,71164,artist
376920,71164,artist
372401,65224,artist
489531,65224,artist
430107,65224,artist
559821,65224,artist
463892,65224,artist
424945,65224,artist
589184,65224,artist
490418,65224,artist
532630,65224,artist
442272,65224,artist
570070,65224,artist
271670,11507,artist
295687,11507,artist
546978,11507,artist
567652,11507,artist
466201,11507,artist
250580,11507,artist
264000,11507,artist
282462,11507,artist
314861,11507,artist
521404,11507,artist
291760,11507,artist
480867,11507,artist
584799,11507,artist
346496,11507,artist
360094,11507,artist
595588,40597,artist
604614,40597,artist
604614,23943,artist
604613,40597,artist
604613,23943,artist
505632,40597,artist
505632,23943,artist
545135,40597,artist
310921,40597,artist
484594,40597,artist
478713,40597,artist
494126,40597,artist
494126,23943,artist
474304,40597,artist
474304,23943,artist
549441,40597,artist
456432,40597,artist
546335,119957,artist
546335,118806,artist
546335,115889,artist
546335,73773,artist
546335,31001,artist
546335,53111,artist
174447,49771,artist
174447,50792,artist
174447,11961,artist
306278,49771,artist
306278,50792,artist
306278,11961,artist
375507,49771,artist
375507,50792,artist
375507,11961,artist
246716,49771,artist
246716,50792,artist
246716,11961,artist
94851,49771,artist
94851,50792,artist
94851,11961,artist
212375,50792,artist
212375,11961,artist
326357,49771,artist
326357,50792,artist
326357,11961,artist
163623,49771,artist
163623,50792,artist
163623,11961,artist
286658,49771,artist
286658,50792,artist
286658,11961,artist
253086,49771,artist
253086,50792,artist
253086,11961,artist
349874,49771,artist
349874,50792,artist
349874,11961,artist
