bg_id,id
41863,10093
41863,98
140,26922
9441,280979
153507,192297
153507,343959
153507,236264
153507,168497
153507,318562
153507,35497
81640,284825
81640,143484
81640,311464
12589,12
472,359127
472,310636
472,5177
472,71061
123096,142079
620,3409
620,38996
172933,272993
168788,40604
177354,232166
177354,317519
177354,338124
40760,200924
40393,67910
215312,1992
34585,40832
34585,66085
34585,41003
34585,42487
34585,50
75476,310692
75476,11096
205125,218208
205125,9209
46255,200834
153064,287821
153064,195237
153064,228483
16772,120217
222407,174155
466,353
137330,350015
193739,78750
193739,66505
92190,320499
71061,157958
71061,472
68182,1305
31552,208754
31552,119866
31552,9203
286537,172081
312318,270970
27225,284845
27225,202477
27225,164917
27225,76322
27225,202478
163,6512
163,1544
163,250331
65282,115680
301919,30549
6779,822
67254,199076
67254,4741
89910,257096
144553,161226
195503,123499
128,60126
128,25294
191963,638
150293,274445
3720,119369
3720,330176
31759,296694
31759,283768
31759,1540
148601,190572
148601,359443
12166,33434
12166,39336
12166,2651
15953,36482
15953,22532
66214,38637
2570,73
210290,129437
40237,295374
66171,288828
236217,206915
236217,231748
236217,170587
180564,822
337,18791
133632,197320
133632,79828
227072,306745
227072,205420
125921,27766
6887,332756
118536,276804
58110,245658
197572,1634
233208,101785
233208,61028
1563,283
1563,2904
1563,249775
1563,7614
320,13464
320,353598
157958,71061
559,58602
295785,248907
158339,129622
227758,205045
443,616
99,115293
5781,152567
5781,14
281960,204583
282853,13
282853,1897
197097,309721
197097,308533
197097,306921
197097,307191
197097,268398
36399,3409
28,316093
28,859
2596,3751
183284,24417
1270,12488
21632,171011
196496,149951
3570,33212
3570,148530
195372,231962
281152,322076
281152,24773
288513,334717
154509,199382
154509,27162
73664,271321
203430,195330
29972,267
208773,159473
15510,204323
66849,313718
205494,143884
204135,301242
38531,222821
40990,63778
328565,232824
29073,128885
15839,359613
309105,200853
638,191963
281075,233867
67185,234949
67185,332944
137031,343665
137031,202450
137031,223449
191004,34635
1111,97747
1111,177799
1111,8998
1111,297783
1111,286408
37371,208895
37371,319593
228959,119432
205045,227758
589,104710
72,902
173761,46213
327711,271324
298638,157969
298638,226065
144568,175095
144568,99130
68820,291155
142121,226170
142121,196305
142121,196306
142121,202755
142121,205491
205507,122515
262477,161533
205867,2571
229218,13
229218,1361
158572,338351
22143,77
9341,130605
185538,299450
247104,212445
175621,39998
278553,271321
311715,199242
14,152567
14,5781
218208,14996
218208,205125
4218,246543
40529,39463
40529,40531
40529,298572
40529,15
17240,257273
17240,167185
17240,40491
154906,355224
203780,2651
10997,297661
4192,268266
340041,204583
130060,478
142271,67877
253664,315882
253664,313802
253664,338678
180956,339647
255615,186864
76150,128733
76150,69851
83667,39927
318472,352026
318472,212445
318472,15985
256066,344697
256066,223619
256066,207653
191925,299571
4394,13
4741,67254
4741,199076
123609,350079
67928,350079
67928,123607
39206,123228
118705,244702
118705,83195
40381,118
209325,173090
9364,349416
9364,353129
631,5389
11057,176596
11057,21551
11057,5233
39927,83667
343562,282524
245271,136063
8107,4324
4209,321757
170587,253786
170587,206915
170587,231748
170587,236217
17053,260998
83734,42396
1155,12538
1155,54643
21791,266141
231327,171668
80771,257164
285894,206931
193867,253607
193867,277538
103649,205597
62871,204175
62871,125368
62871,155119
62871,102940
303672,344415
302336,256382
16991,91034
77,22143
119637,225244
119637,21348
40398,164840
40398,265797
40398,129395
19427,39440
19427,162012
300905,334137
37196,249683
145633,308755
145633,69789
274093,356133
249411,855
192455,121921
66587,123536
299121,144743
251890,30356
798,7118
145645,21763
23107,171630
23107,61269
156501,266447
158340,129622
271060,187687
271060,133038
32944,249381
105593,235944
251053,347013
251053,335678
161226,144553
91523,154009
78733,275067
256874,129437
262547,347200
262547,268254
153623,170296
153623,38657
223278,155426
192934,169925
40832,34585
32484,143238
32484,175177
274428,334286
274428,184824
20,16063
2288,212445
2288,712
2288,15985
2288,3071
8195,59543
8195,21562
207016,169124
277927,34004
3972,172994
3972,13
32674,348934
32674,248641
31479,41291
31479,16986
279869,188018
160081,93895
160081,100798
128445,193670
2533,144526
2533,38195
276925,351652
276925,322523
248949,166776
128554,30024
19841,21012
38309,57998
164812,129090
632,175117
236461,173090
1262,55829
140535,218610
140535,161943
140535,280897
112373,113066
112373,76203
112373,186073
193557,133747
321277,35570
59753,12
936,20963
125311,28738
245658,58110
231819,259809
231819,171131
102104,258
22532,216710
22532,131183
22532,42306
22532,15953
22532,9203
22532,9910
303551,69779
124839,338434
883,37376
883,174065
883,292
232824,328565
232824,180256
1491,13884
153,432
168274,349333
168274,149374
2381,64219
2381,40115
1589,158098
1589,37061
1589,29663
59,93724
38786,319033
932,215311
932,7956
932,5389
932,2017
257193,155068
329845,39856
16216,822
714,5336
714,27627
169464,65532
149809,113294
23817,292187
37400,207783
70519,278337
129731,224141
8172,317981
8172,31545
187687,271060
315060,3284
12350,196712
34615,822
247585,174260
34969,16986
193670,128445
1293,354127
264239,163412
216403,280475
216403,39530
2266,13230
133528,256643
1194,156175
5622,314577
93724,59
254123,135382
1334,200
520,61692
32441,35137
32441,186243
32441,133337
32441,321602
32441,264267
3439,146977
3439,212607
315881,179172
5620,332402
217776,286439
149241,330116
149241,313859
223,136558
223,156
313010,39463
1621,187056
35505,219621
35505,219622
197320,79828
197320,133632
130486,326538
182082,822
208775,131260
208775,167305
90870,187606
24037,315048
24037,2653
119866,31552
119866,9203
247342,345792
256680,30
134520,41490
281515,292070
198522,129622
23451,137238
4174,151684
2162,13362
2162,316655
25729,209877
235922,352810
202288,46
101,5389
273779,306735
27463,279581
230769,318474
235591,46007
36708,41474
41302,5770
95105,260218
135281,232
11168,38784
11168,334505
11168,338951
11168,307885
11168,190700
296,245645
788,34119
209003,14105
25951,168839
127493,135732
127493,319093
127493,319091
127493,319092
127493,319090
3202,40209
100679,51367
56786,1117
508,158982
508,10501
46007,235591
46007,224
27048,140164
305985,63975
16,11335
140343,275802
3421,102159
189,13
271321,278553
271321,278554
271321,302926
271321,318098
271321,73664
280748,227456
7806,254191
7806,224907
58602,559
6050,129459
8924,254227
8924,151228
255708,300442
255708,154428
223779,172244
300936,137297
1917,6272
1917,215227
1917,232822
1917,40432
1917,130841
1917,484
1917,197108
1917,174064
1917,9246
815,71676
815,268276
63091,54625
63091,2163
169,9735
299,28096
299,8495
299,31583
299,12715
299,284578
299,5369
299,31167
177939,91536
39336,12166
39336,2651
256804,172225
296167,254213
192638,125833
30,256680
181617,165950
257,120447
257,250963
635,27167
