ver_id,id
154415,2203
240207,2203
440288,2195
334214,2181
568748,2181
340165,2180
290632,2184
290725,2184
290631,2184
320869,2184
260459,2184
323461,2187
348113,2187
316812,2188
343351,2188
351606,2191
301700,2193
376686,2194
527449,2195
328850,2199
377986,2199
337648,2200
401541,2200
570460,2200
351039,2202
300769,2203
534236,2665
565569,2180
521129,2184
560141,2187
539297,2188
568081,2191
534688,2193
543189,2195
532844,2199
549301,2202
572495,2181
567253,2203
548255,2665
317166,2181
317166,2184
363499,2193
365582,2200
269360,2202
357732,2199
141049,2184
141049,2187
69303,2184
69303,2187
69303,2188
134173,2184
134173,2187
134173,2188
370436,2203
549416,2181
454832,2180
443337,2184
565087,2184
508119,2184
565086,2184
411714,2187
508120,2187
460939,2188
508121,2188
466416,2191
435311,2193
508123,2193
554551,2194
498127,2195
255614,2199
508124,2199
547838,2200
453839,2202
456865,2203
508122,2203
564059,2665
374197,2181
558587,2181
332231,2180
603529,2180
336145,2183
326707,2183
326707,2184
326707,2195
288074,2183
288074,2184
288074,2203
599189,2184
591175,2184
422327,2184
484266,2184
526264,2184
559421,2184
594224,2184
266502,2184
441367,2184
290902,2184
290902,2194
423307,2184
423307,2195
266501,2187
266503,2188
339356,2188
558031,2188
316509,2189
333351,2191
288317,2193
389078,2193
564473,2193
498260,2195
318316,2182
318316,2186
318316,2198
318316,2204
278388,2199
348109,2200
333004,2201
331603,2202
407829,2656
407829,2681
407829,2207
320839,2203
492145,2709
431609,2675
431609,2195
431609,2665
562735,2185
562735,2196
562735,2197
562735,2665
410782,2181
229951,2183
227933,2184
284456,2184
364284,2184
583924,2184
583924,2188
164811,2184
164811,2188
237166,2184
237166,2188
359188,2184
359188,2188
233933,2187
392393,2187
422878,2191
249101,2193
457792,2193
264709,2194
485474,2195
312568,2199
326985,2203
326985,2200
430341,2200
430341,2203
604359,2200
604359,2203
443729,2201
366032,2202
242995,2203
231710,2203
164843,2181
572385,2181
29556,2183
29556,2187
297773,2184
297010,2184
26324,2184
43206,2184
43206,2187
21364,2184
21364,2187
21364,2188
435699,2187
527664,2188
576320,2188
470848,2193
554550,2194
460099,2195
26985,2188
473627,2199
459033,2200
349461,2184
420193,2184
389052,2202
447133,2203
259758,2181
338489,2203
193224,2183
506193,2184
189525,2184
189525,2187
154404,2184
154404,2188
597724,2188
193774,2188
391053,2188
223237,2203
422804,2191
226081,2193
214221,2194
193772,2180
193772,2199
300535,2200
423597,2200
251839,2202
355766,2181
326373,2203
301912,2183
301369,2184
409676,2184
433678,2184
585046,2184
329848,2187
410804,2187
577478,2187
273894,2188
325141,2193
332201,2194
393498,2195
570418,2203
344345,2199
338742,2200
351447,2202
471202,2195
592173,2675
448045,2181
461082,2180
604978,2180
498203,2180
498203,2206
531978,2182
475887,2200
435420,2183
433233,2184
474967,2184
561388,2185
501112,2186
433839,2187
529409,2187
438508,2188
464873,2188
479290,2188
534256,2189
435127,2191
452283,2193
524651,2194
542966,2195
561387,2196
561390,2197
439205,2200
438574,2199
483067,2201
456102,2202
581207,2681
434480,2203
527618,2204
472139,2709
517794,2349
517759,2665
391994,2181
320688,2184
568911,2184
327139,2187
588048,2187
322420,2188
580000,2188
324199,2193
583085,2193
356966,2194
477215,2195
575828,2195
321757,2199
569678,2199
569598,2200
405521,2202
320770,2203
568912,2203
482334,2665
602465,2180
283706,2184
375763,2187
548208,2187
290825,2188
495569,2191
363500,2193
369378,2194
534265,2195
389475,2195
497926,2199
335706,2200
568491,2201
376920,2202
330930,2203
550705,2665
442176,2181
424446,2180
545526,2184
372401,2184
489531,2184
430107,2184
559821,2184
463892,2184
422121,2187
424945,2188
589184,2188
490418,2188
532630,2188
420769,2193
554553,2194
461132,2195
442272,2199
430537,2200
457859,2202
439804,2203
570070,2203
572061,2709
498449,2665
271670,2194
