ver_id,name_index,name,sortindex
269723,1,English edition,1
173920,1,Le chat et les souris,4
173920,2,Katz und Maus,1
484089,1,Swiss edition,1
313170,1,Catch Me!,1
42634,1,Acchiappami!,1
42634,2,Attrape-moi!,1
42634,3,Catch Me!,1
42634,4,"Pak me dan, als je kan!",1
42634,5,¡Atrápame!,1
429562,1,Processing Kickstarter Edition,1
394486,1,English gigantic edition,1
143586,1,Red letter/green box edition,1
337455,1,Azure House edition,1
445190,1,エスパーピザ屋ゴーストタウンへ行く,1
390020,1,First edition,1
181786,1,Daimyo edition,1
178575,1,In Country: The Vietnam War,1
208457,1,German edition,1
28078,1,StarForce Terra: Contact,1
138356,1,German-French-Italian-Dutch-English Edition,1
121152,1,English/German first edition,1
377426,1,ヴィータモーズ,1
377426,2,維塔穆斯,1
29959,1,Jeu D'Affaires,1
200490,1,Warzone,1
200490,2,Warzone Resurrection,1
299191,1,Save the Treasure of Fairy Tales,1
397397,1,English edition,1
181559,1,Australia / New Zealand edition,1
479511,1,English/French edition,1
75279,1,NonSense Classic,1
117760,1,Milton Bradley Edition,1
368124,1,Chick-Fil-A edition,1
437921,1,2.0 edition,1
31449,1,1961A edition,1
94655,1,1961B edition,1
30700,1,D-Day '65,1
71760,1,Denys Fisher edition,1
372442,1,Les Gratounets,5
372442,2,De Hoorzels,4
372442,3,Die Hörbies,5
372442,4,Gli Orecchietti,5
372442,5,Los Orejudos,5
373267,1,Il castello del ranocchio scalatore,4
373267,2,El castillo de la Rana Escaladora,4
373267,3,Castle Climbing Frog,1
373267,4,Klaas Klauter,1
373267,5,Ploufette en mission,1
82582,1,Zoch multilingual first square box edition 2011,1
100945,1,First edition,1
252721,1,Green Berets: Vietnam,1
413048,1,夢：第十三章,1
457750,1,Revised and Expanded edition,1
89009,1,Blenheim 1704,1
428701,1,Not Safe For Work edition,1
296859,1,Safe for Work edition,1
290478,1,はんか通骨董市,1
554281,1,Third edition,1
469231,1,トランスアメリカ＆ジャパン,1
277820,1,Bouncing Bunnies,1
463273,1,Одним Словом,1
230286,1,Legendary Showdown,1
209752,1,Dragon vs Bear: Russian & Chinese Armed Forces in the 21st Century,1
169252,1,SPI Strategy & Tactics Edition,1
296589,1,Пиратские бароны,1
534769,1,Irish edition,1
99197,1,Superhirn,1
32478,1,MicroHistory 3,1
373967,1,English tin edition,1
83083,1,multilingual first edition,1
545735,1,Original 1992 Edition,1
376213,1,Australian edition,1
263325,1,Chasse-cercueils,1
263325,2,Duw de doodskist,1
263325,3,Sbaracca la bara,1
107046,1,Folio edition,1
424894,1,Extra Issue #8 edition,1
34532,1,"""The Best"" edition",1
45136,1,"""Maureen Hiron's Qwitch"" Edition",1
525678,1,Kickstarter edition,1
373384,1,International edition,1
32472,1,MicroHistory 4,1
451811,1,ハラグロパティスリー,1
451811,2,腹黑菓子店,1
451811,3,꾀보 케이크 샵,1
32064,1,MicroHistory 5,1
94210,1,Cadaco tin edition,1
603602,1,Polish edition,1
172357,1,Risorgimento: War in Italy 1848,1
293507,1,2015 AEG Black Box Edition,1
253919,1,異族爭霸,1
80526,1,German Edition,1
345588,1,"""Dawn of the Legion""",1
419594,1,Chinese/English edition,1
39662,1,Magazine edition,1
434138,1,高雄大空襲,1
570621,1,English/French edition,1
419025,1,Curse of the Pirate Gold,1
404048,1,グラバー,1
373722,1,Russian travel edition,1
183664,1,Holy Land: The Next Arab-Israeli War,1
30320,1,ATO Pocket Battle #4,1
350370,1,エーブス,1
350370,2,羽,1
32323,1,Command magazine edition,1
339066,1,Mexikói Párbaj,1
331738,1,English edition,1
237060,1,Japanese DX edition,1
210161,1,New Second Edition,1
438709,1,Objective Nuremberg: War in Europe in the 1980s,1
32476,1,MicroHistory 1,1
390614,1,Torre di animali: Una scalata da ricordare,1
172341,1,Over the Top! The Battles of Verdun & Lemberg,1
370642,1,飛騨古川,1
216453,1,Kellotornin Kummitukset,1
553627,1,Tree Stump edition,1
257960,1,Gardais siers!,1
257960,2,Mmm juust!,1
237272,1,Master Mind Tridimensionale,1
400815,1,English/German edition,1
209062,1,First edition,1
32324,1,Command magazine edition,1
95571,1,Fun City Game,1
406136,1,English/Spanish edition,1
374822,1,French & US Army edition,1
141705,1,Legendary Games party tin edition,1
307381,1,Front Porch Classics edition,1
169627,1,100 Years' War,1
387710,1,Eenhoorn Flonkerglans: Flonkerbingo,1
387710,2,Licornes dans les nuages: Bingo scintillant,1
387710,3,Liocorno Luccichino: Tombola scintillante,1
387710,4,Unicorn Glitterluck: Sparkling Bingo,1
387710,5,Unicornio Destello: Bingo chispeante,1
387710,6,独角兽莉莉: 闪闪发光的宾果游戏,1
182916,1,Complete Box Set,1
189422,1,Ancients: Thapos & Alexandria,1
189422,2,First edition,1
41827,1,Spanish first edition,1
387706,1,Occhio al re,1
387706,2,El Rey Tambaleante,4
387706,3,Roi en équilibre !,1
387706,4,Wiebelkoning,1
387706,5,Wobble King,1
137883,1,First edition,1
155865,1,Ligretto Football,1
230344,1,Huch & Friends edition,1
293712,1,Kristallikaivos,1
420026,1,Wspinaczka,1
483466,1,French 10th anniversary edition,1
216424,1,Delete,1
280022,1,鯊魚警報,1
27049,1,Allarme squali!!!,1
363789,1,オニバベル (Onibaberu),1
176099,1,First edition,1
111573,1,First edition,1
50197,1,English/French/Spanish edition,1
98692,1,Milton Bradley edition 1990,1
322823,1,Operação Resposta Rapida,1
416994,1,두 잇!,1
300287,1,Erämaashakki,1
300287,2,Ørkensjakk,1
262697,1,Playtoy English/French edition,1
311720,1,Chinese edition,1
106005,1,English edition,1
230391,1,7 Up,1
230391,2,Seven Up,1
323362,1,Roar! Attrape le Monstre,1
442569,1,炸彈,1
158147,1,De Magier: een Spel van Magische Konflikten,4
198628,1,Tin box edition,1
95548,1,Flipsiders: Mall Madness,1
316217,1,Bajuszcsapó,1
316217,2,Chyť si fúzy,1
316217,3,Chyť si knír,1
316217,4,Złap wąsy!,1
32596,1,First edition,1
250020,1,Troll: W Czarodziejskim Lesie,1
40373,1,"1979 Spiel des Jahres ""Beautiful Game""",1
285977,1,Zamki na piasku,1
450601,1,Non-Seasonal edition,1
398645,1,English third edition,1
262434,1,Kalejdoo!,1
29941,1,Ravensburger flat box,1
117822,1,English edition,1
143209,1,New blue logo,1
303953,1,Chicken out,1
333493,1,夢想x3,1
496576,1,English collector's edition,1
358981,1,Gold Version,1
187443,1,Parker travel-sized edition,1
123473,1,First edition,1
108398,1,Swedish/Danish edition,1
462176,1,Full Of Shit Edition,1
25436,1,Terrorbull English first edition 2009,1
125607,1,"The Forgotten Axis: German Attack on Murmansk, 1941",5
532849,1,Retro edition,1
364776,1,Looney Tunes Collector's Edition,1
52582,1,Classic Cartoon Limited edition,1
260081,1,Bloody Nights,1
260081,2,Blutige Nächte,1
104581,1,Harry Potter ja Viisasten Kivi Tylypahkan Arvoitus,1
245124,1,English edition v 1.0,1
367182,1,Naughty edition,1
407003,1,Belgian edition,1
122049,1,Drumond Park English edition,1
168787,1,Carma Race,1
260814,1,Avec: kontaktande parspel,1
400082,1,Kickstarter exclusive edition,1
270376,1,The 7th Dwarf,1
279210,1,First edition,1
303437,1,Madeline's House,1
150879,1,Ravensburger Dutch Edition,1
33290,1,Annihilator / One World,1
160568,1,La Grande Ruse,4
438555,1,Second edition,1
507331,1,Piatnik XXL edition,1
63778,1,Chats,1
159234,1,Dutch/French edition,1
113486,1,Portuguese first edition,1
369180,1,Crown & Andrews Australian edition,1
31703,1,Sparbanken promotional edition,1
333497,1,木林森處,1
283265,1,Jeu/Enquête sur la disparition d'un animal favori,1
27462,1,Dutch Nostalgia Games edition 2003,1
27855,1,Continental Game Risk!,1
34366,1,English Nostalgia edition 2003,1
568611,1,Cardinal English tin edition,1
148603,1,English Canadian edition,1
200599,1,Parker Brothers Greek edition,1
124962,1,Paul Lamond British Edition,1
37068,1,Parker U.S. edition,1
160771,1,Portuguese edition,1
182414,1,Parker Brothers Australia / New Zealand edition,1
181409,1,Mattel multilingual 40th Anniversary edition,1
483444,1,BIBA Boerderij edition 2009,1
235718,1,Cijferdomino,1
24742,1,Barricade,1
24742,2,Barricata,1
136271,1,Barricade,1
136271,2,Barricata,1
136271,3,Das Malefizspiel,5
295547,1,Hasbro English Grab & Go edition,1
33770,1,"Milton Bradley ""Games To Go"" edition",1
207945,1,Spanish Pocket edition,1
407112,1,German special edition,1
160511,1,German First 300 Cards Edition,1
397589,1,Canadian edition,1
28609,1,Winning Moves edition 1998,1
190447,1,El Greco Greek edition,1
506300,1,Tin edition,1
224630,1,La Chasse aux Occasions,4
251531,1,Боп Ит,1
113859,1,Ravensburger German yellow surround edition,1
162398,1,Ravensburger Meine ersten Spiele Edition,1
113856,1,Ravensburger German yellow dolphin edition,1
349579,1,Shark Chase!,1
196885,1,Le renard et la poule,4
196885,2,La volpe e le galline,4
548602,1,Large sized edition,1
133419,1,Middle sized edition,1
441913,1,Small sized edition,1
72779,1,Milton Bradley Canadian edition,1
161824,1,Hasbro Dutch edition 2010,1
41915,1,Journey Through Germany,1
41915,2,Voyage en Allemagne,1
184227,1,Parker Brothers/Hasbro English edition,1
26635,1,De Luxe Edition,4
289650,1,Classic Line edition,1
108224,1,Pass-out Games 25th Anniversary Edition,1
128123,1,"Fundex Edition: ""Free Game"" Hang tag",1
98943,1,Dutch First Edition,1
130730,1,Milton Bradley English/French edition,1
217368,1,English black box edition,1
455216,1,Carcassone: Terningespillet,1
455217,1,Carcassone: Terningspillet,1
110511,1,Carcassonne: Tärningsspelet,1
30235,1,Fantasy Flight Silver Line edition,1
274894,1,Ali Baba et son chameau!,1
513240,1,Fairy Tale Lotto,1
513240,2,Loto des Contes,1
513240,3,Lotto di fabie,1
513240,4,Sprookjes-lotto,1
100792,1,Imagination Games Express edition,1
388809,1,Parker Brothers revision edition 1988,1
138640,1,Alga/Celador Finnish edition,1
171038,1,Creative Child edition,1
152478,1,English classic edition,1
156101,1,Argentinian edition,1
248419,1,QED Pocket Games edition,1
169176,1,Playmobil-Geluksspel,1
289649,1,Ravensburger Miffy edition,1
517061,1,Fyra i rad,1
82181,1,Fyra i rad,1
76401,1,HABA edition,1
99335,1,Milton Bradley edition,1
30825,1,Waddingtons large box edition,1
