bg_id,id,type
463,17517,artist
463,15560,artist
463,14762,artist
463,17298,artist
463,16463,artist
463,16637,artist
463,21333,artist
463,43708,artist
463,14763,artist
463,20339,artist
463,16336,artist
463,14947,artist
463,13325,artist
463,19922,artist
463,40198,artist
463,15008,artist
463,14939,artist
463,49930,artist
463,40199,artist
463,16294,artist
463,14445,artist
463,14733,artist
463,15806,artist
463,50032,artist
463,14862,artist
463,40203,artist
463,12443,artist
463,49851,artist
463,40216,artist
463,25640,artist
463,12233,artist
463,14946,artist
463,14232,artist
463,14231,artist
463,50034,artist
463,40218,artist
463,40219,artist
463,25255,artist
463,13949,artist
463,12012,artist
463,33326,artist
463,13630,artist
463,26040,artist
463,14202,artist
463,40221,artist
463,11884,artist
463,25804,artist
463,14959,artist
463,13634,artist
463,40222,artist
463,30016,artist
463,21806,artist
463,49895,artist
463,40224,artist
463,40225,artist
463,40242,artist
463,28288,artist
463,19878,artist
463,14953,artist
463,12019,artist
463,40228,artist
463,40229,artist
463,40230,artist
463,40231,artist
463,40232,artist
463,40234,artist
463,13635,artist
463,39597,artist
463,40235,artist
463,39876,artist
463,19686,artist
463,40237,artist
463,14616,artist
463,40248,artist
463,40249,artist
463,40250,artist
463,28138,artist
463,14745,artist
463,16455,artist
463,40252,artist
463,15935,artist
463,13636,artist
463,13637,artist
463,14756,artist
463,14446,artist
463,41751,artist
463,17160,artist
463,40260,artist
463,33097,artist
463,12534,artist
463,14525,artist
463,14792,artist
463,24244,artist
463,17763,artist
463,40263,artist
463,18931,artist
463,21498,artist
463,14825,artist
463,13920,artist
463,40305,artist
463,13990,artist
463,19475,artist
463,31445,artist
463,40309,artist
463,13379,artist
463,31500,artist
463,24402,artist
463,14299,artist
463,29346,artist
463,19569,artist
463,40313,artist
463,41754,artist
463,13452,artist
463,33025,artist
463,14950,artist
463,17306,artist
463,40316,artist
463,15368,artist
463,15537,artist
463,21427,artist
463,13413,artist
463,14757,artist
463,14940,artist
463,40317,artist
463,17057,artist
463,14109,artist
463,40318,artist
463,31983,artist
463,21761,artist
463,12502,artist
463,15563,artist
463,14047,artist
463,13896,artist
463,27196,artist
463,40321,artist
463,1657,artist
463,16674,artist
463,49850,artist
463,15805,artist
463,13950,artist
463,13638,artist
463,12501,artist
463,15225,artist
463,18781,artist
463,5249,artist
463,14302,artist
463,17323,artist
463,5211,artist
463,14635,artist
463,40324,artist
463,40325,artist
463,15220,artist
463,39678,artist
463,40328,artist
463,16451,artist
463,20578,artist
463,40329,artist
463,486,artist
463,18929,artist
463,40330,artist
463,14316,artist
463,13951,artist
463,5318,artist
463,49388,artist
463,19348,artist
463,13979,artist
463,49870,artist
463,14097,artist
463,19538,artist
463,40333,artist
463,13976,artist
463,50030,artist
463,40334,artist
463,50023,artist
463,28793,artist
463,19806,artist
463,29291,artist
463,21995,artist
463,40656,artist
463,14239,artist
463,35766,artist
463,41875,artist
463,14317,artist
463,24268,artist
463,10548,artist
463,41876,artist
463,885,artist
463,15025,artist
463,14106,artist
463,20577,artist
463,15843,artist
463,17518,artist
463,40339,artist
463,12090,artist
463,14585,artist
463,40340,artist
463,14704,artist
463,14960,artist
463,14976,artist
463,14625,artist
463,13418,artist
463,14758,artist
463,15929,artist
463,14348,artist
463,19664,artist
463,14737,artist
